"Depths","Aciphylla type","Aristotelia","Asteraceae undiff.","Carpodetus serratus","Celmisia type","Chenopodiaceae","Coprosma","Cordyline","Coriaria","Dacrycarpus dacrydioides","Dacrydium cupressinum","Discaria toumatou","Dodonaea viscosa","Dracophyllum undiff.","Elaeocarpus","Empodisma","Fuscospora","Gaultheria type","Griselinia","Halocarpus","Hebe","Hoheria angustifolia","Hoheria lyallii type","Lepidothamnus","Leucopogon suaveolens","Libocedrus","Melicytus","Metrosideros undiff.","Muehlenbeckia","Myoporum","Myrsine","Neomyrtus","Nothofagus menziesii","Olearia colensoi","Olearia type","Phyllocladus","Pittosporum","Plagianthus","Poaceae <40 um","Poaceae >40 um","Podocarpus","Prumnopitys ferruginea","Prumnopitys taxifolia","Pseudopanax anomalous type","Pseudopanax colensoi type","Pseudopanax undiff.","Pseudowintera","Pteridium esculentum","Raoulia","Rubus squarrosa type","Rubus undiff.","Streblus","Taraxacum type","Urticaceae","Weinmannia"
320,0,0,0,0,0,0,0.824742257595062,0,0,1.64948451519012,18.9690723419189,0,0,0,0,10.945273399353,0.206185564398766,0,0,0,0,0,0,0.824742257595062,0,0,0,0,0,0,0.412371128797531,0,9.89690685272217,0,0,2.8865978717804,0,0,0,0,0.824742257595062,43.2989692687988,19.3814430236816,0.206185564398766,0,0,0,0,0,0,0.412371128797531,0,0,0,0
330,0,0,0,0,0,0.363636374473572,0.425531923770905,0,0,1.27659571170807,18.297872543335,0,0,0.212765961885452,0,0.727272748947144,0,0,0,0,0,0,0,0.212765961885452,0,0,0,0,0,0,1.70212769508362,0,8.93617057800293,0,0,0.851063847541809,0,0,0,0,2.12765955924988,41.7021293640137,24.2553195953369,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,2.36686396598816,0,0,2.36686396598816,21.3017749786377,0,0,0.394477307796478,0,2.6745913028717,0.394477307796478,0.197238653898239,0,0,0,0,0,0.788954615592957,0,0,0,0,0,0,1.57790923118591,0,7.49506902694702,0,0,3.15581846237183,0,0,0,0,3.15581846237183,40.236686706543,15.7790927886963,0,0,0,0,0,0,0,0.394477307796478,0,0,0,0
350,0,0,0,0,0,0,0.391389429569244,0,0,1.17416834831238,20.7436389923096,0,0,0.391389429569244,0.391389429569244,0.897867560386658,0.782778859138489,0,0,0.782778859138489,0,0.391389429569244,0,0.391389429569244,0,0,0,0,0,0,0.391389429569244,0,11.3502931594849,0,0,2.34833669662476,0.782778859138489,0,0,0,2.34833669662476,43.4442253112793,12.9158515930176,0.391389429569244,0,0,0,0,0,0,0,0,0,0,0.195694714784622
360,0,0,0,0.380228132009506,0,0,0.760456264019012,0,0,1.90114068984985,20.1520919799805,0,0,0,0.190114066004753,0.986842095851898,0,0,0,0.380228132009506,0,0,0,0.190114066004753,0,0,0,0.760456264019012,0,0,1.1406843662262,0,14.8288974761963,0,0,0.760456264019012,0,0,0,0.380228132009506,1.90114068984985,39.9239540100098,15.5893535614014,0,0,0,0,0,0,0,0.380228132009506,0,0,0,0
370,0,0,0,0,0,0,0.209643602371216,0,0,0.838574409484863,24.7379455566406,0,0,0,0,4.15944528579712,0,0,0,0,0,0,0,0.419287204742432,0,0,0,0.419287204742432,0,0,1.25786161422729,0,18.0293502807617,0,0,2.09643602371216,0,0,0,0,1.67714881896973,34.800838470459,15.5136270523071,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0.205338805913925,0,0,0.821355223655701,19.3018474578857,0,0,0,0,1.05820107460022,0.41067761182785,0,0,0.41067761182785,0,0,0,0.41067761182785,0,0,0,0,0,0,1.6427104473114,0,31.6221771240234,0,0,4.10677623748779,0,0,0,0,4.51745367050171,24.6406574249268,11.0882959365845,0,0,0.41067761182785,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0.406504064798355,0,0,2.03252029418945,29.6747970581055,0,0,0,0.81300812959671,2.78551530838013,0.203252032399178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7317066192627,0,0,5.69105672836304,0,0,0,0,0.406504064798355,33.3333320617676,6.50406503677368,0,0,0,0,0,0,0,0.203252032399178,0,0,0,0
400,0,0.402414500713348,0,0,0,0,0.402414500713348,0,0,2.4144868850708,32.997989654541,0,0,0.402414500713348,0.402414500713348,14.3812713623047,0,0,0,0,0,0,0,0,0,0.201207250356674,0,0,0,0,1.2072434425354,0,7.2434606552124,0,0,8.04828929901123,0,0,0.201207250356674,0.201207250356674,2.81690144538879,35.4124755859375,7.2434606552124,0,0,0,0,0,0,0,0,0,0,0,0.402414500713348
410,0,0.419287204742432,0,0,0,0.344827592372894,0.419287204742432,0,0,3.77358484268188,25.1572322845459,0,0,0,0,10.6896553039551,0,0,0,0,0,0,0,0,0,0,0,0.419287204742432,0.419287204742432,0,1.25786161422729,0,7.12788248062134,0,0,4.19287204742432,0,0,0,0,4.19287204742432,39.4129981994629,11.3207550048828,0,0,0.419287204742432,0,0,0,0,0,0,0,0,0.419287204742432
420,0,0,0,0,0,0,1.64609050750732,0,0,3.29218101501465,32.0987663269043,0,0,2.05761313438416,0,0.855920135974884,0,0.411522626876831,0,1.23456788063049,0,0,0,0.823045253753662,0,0,0,0,0,0,0.823045253753662,0,3.29218101501465,0,0,2.46913576126099,0,0,0.205761313438416,0,1.23456788063049,37.448558807373,12.3456792831421,0,0,0,0.205761313438416,0,0,0.205761313438416,0,0,0,0,0
430,0,0,0,0,0,0,0.423728823661804,0,0,2.54237294197083,24.5762710571289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423728823661804,0,0,1.69491529464722,0,1.69491529464722,0,0,1.69491529464722,0,0,0,0,1.69491529464722,51.6949157714844,13.5593223571777,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0.421052634716034,0,0,1.26315784454346,24.8421058654785,0,0,0,0,0.824742257595062,0,0,0,0.421052634716034,0,0,0,0,0,0,0,0.421052634716034,0,0,1.26315784454346,0,1.26315784454346,0,0,4.21052646636963,0,0,0.421052634716034,0,0.421052634716034,49.684211730957,15.1578950881958,0,0,0,0,0,0,0,0.210526317358017,0,0,0,0
450,0,0,0,0,0,0,0.417536526918411,0,0,0.835073053836823,32.1503143310547,0,0,0,0.417536526918411,0.412371128797531,0,0,0,0,0,0,0,0.208768263459206,0,0,0,0,0,0,0.208768263459206,0,1.67014610767365,0,0,3.75782871246338,0,0,0,0,0.835073053836823,41.7536544799805,17.1189975738525,0,0,0,0,0,0,0,0,0,0,0,0.208768263459206
460,0,0,0,0,0,0,0.416666656732559,0,0,0.20833332836628,29.5833339691162,0,0.416666656732559,0,0,1.07526886463165,0,0,0,0.416666656732559,0,0,0,0,0,0,0,0,0,0,0.416666656732559,0,0.833333313465118,0,0,5.41666650772095,0,0,0,0,0.833333313465118,47.9166679382324,12.9166669845581,0,0,0,0,0,0,0,0,0.20833332836628,0,0,0
470,0,0,0,0,0,0,0,0,0,2.04918026924133,24.1803283691406,0,0,0,0.204918026924133,0.406504064798355,0,0,0,0,0,0,0,0,0,0,0,0.409836053848267,0,0,0.409836053848267,0,0.409836053848267,0,0,3.6885244846344,0,0,0,0,0.819672107696533,56.5573768615723,11.0655736923218,0,0,0,0,0,0,0,0.204918026924133,0,0,0,0
480,0,0,0,0,0,0.318471342325211,0.862068951129913,0,0.431034475564957,3.01724147796631,26.7241382598877,0,0,0,0.431034475564957,0,0,0,0,0,0,0,0,0,0,0,0,0.431034475564957,0,0,0.215517237782478,0.431034475564957,1.72413790225983,0,0,1.29310345649719,0,0,0,0,0,45.2586212158203,18.5344829559326,0,0,0,0,0,0,0,0.215517237782478,0,0,0,0.431034475564957
490,0,0,0,0,0,0,0.43572986125946,0,0,3.48583889007568,16.1220035552979,0,0,0,0.43572986125946,0,0.21786493062973,0,0,0.871459722518921,0,0,0,0,0,0,0,0,0,0,0.43572986125946,0,0.871459722518921,0,0,3.92156863212585,0,0,0,0,0.871459722518921,47.0588226318359,24.8366012573242,0,0,0.43572986125946,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0.408163279294968,0,0,12.6530609130859,7.3469386100769,0,0,0,0,0.383141756057739,0,0,0.408163279294968,0,0,0,0,0.408163279294968,0,0,0,0,0,0,0.816326558589935,0,8.97959136962891,0,0,4.08163261413574,0,0,0,0.408163279294968,0.408163279294968,46.9387741088867,16.7346935272217,0,0,0.408163279294968,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0.414421886205673,0,0,4.97306251525879,30.6672191619873,0.0414421893656254,0,0,1.2432656288147,0.404203712940216,0,0,0,0.828843772411346,0,0,0,0,0,0,0,0.414421886205673,0,0,0.828843772411346,0,0.828843772411346,0,0,2.9009530544281,0,0,0,0,1.2432656288147,36.8835487365723,18.234561920166,0,0.0414421893656254,0,0,0,0,0,0,0,0,0,0.0414421893656254
510,0,0,0,0,0,0,0.798403203487396,0,0,4.79041910171509,39.9201583862305,0.0399201586842537,0,0,0.399201601743698,0.3940110206604,0,0,0.0399201586842537,0,0,0.399201601743698,0,0.399201601743698,0,0,0.798403203487396,0.798403203487396,0.798403203487396,0,5.58882236480713,0,2.39520955085754,0,0,4.79041910171509,0,0,0,0,1.19760477542877,17.9640712738037,18.7624759674072,0,0,0,0,0,0,0,0.0399201586842537,0,0,0,0.0399201586842537
515,0.0396510697901249,0,0,0,0,0,2.44001626968384,0,0,6.50670957565308,15.0467662811279,0,0.813338696956635,0,0.406669348478317,0.396510690450668,0,0,0.406669348478317,0.813338696956635,0,0.406669348478317,0,0,0,0,0.040666937828064,0.406669348478317,0.406669348478317,0.040666937828064,2.84668564796448,0,0.813338696956635,0.203334674239159,0.406669348478317,3.66002416610718,0,0,0,0,0.406669348478317,43.5136222839355,17.4867820739746,0,0,0,0,0,0,0,1.22000813484192,0,0,0.406669348478317,1.22000813484192
520,0,0.0350140035152435,0.175070017576218,0.350140035152435,0,0,6.30252075195312,0.350140035152435,0.350140035152435,46.9187660217285,1.05042016506195,0.0350140035152435,0.350140035152435,0,1.05042016506195,0.335908621549606,0.0350140035152435,0,0,1.40056014060974,0,0,0,0.700280070304871,0,0,3.50140047073364,1.75070023536682,0.350140035152435,0,3.85154056549072,0,0,0.175070017576218,0,0.700280070304871,0,0.0350140035152435,0,0,0.700280070304871,13.6554622650146,10.854341506958,0,0.0350140035152435,0,0,0,0,0,1.75070023536682,0,0,0,1.05042016506195
525,0,0.996346712112427,0.332115560770035,0,0,0,44.5034866333008,0.332115560770035,0.332115560770035,4.98173332214355,4.98173332214355,0.996346712112427,0,0,0.66423112154007,0.581057488918304,0.332115560770035,0,0.66423112154007,0.66423112154007,0.332115560770035,1.99269342422485,0,0.332115560770035,0,0,5.64596462249756,1.32846224308014,2.98904013633728,0,4.98173332214355,0.66423112154007,0.332115560770035,0,0,0.332115560770035,0,0,0,0,0.332115560770035,3.65327119827271,2.98904013633728,0.332115560770035,0.66423112154007,0,0,0,0.66423112154007,0,1.32846224308014,0,0,0,0.66423112154007
530,0,0,1.53256702423096,0,1.53256702423096,0,42.528736114502,0,0.383141756057739,0.766283512115479,2.68199229240417,0.383141756057739,0,0,0.383141756057739,0,0,0,0.383141756057739,0.383141756057739,1.14942526817322,2.29885053634644,0,0,0,0,0,2.68199229240417,0.383141756057739,0,26.8199234008789,0,0,0,1.14942526817322,0,0.383141756057739,0.383141756057739,1.53256702423096,0.383141756057739,0,3.44827580451965,0.383141756057739,1.53256702423096,0.766283512115479,0.766283512115479,0,0,3.06513404846191,0,0.383141756057739,0,0,0,0
535,0.593824207782745,0,2.3785252571106,0,1.35915720462799,0,28.8820915222168,0,0.339789301156998,3.05810379981995,0.679578602313995,1.01936793327332,0,0,0.339789301156998,0.296912103891373,0,0,1.01936793327332,1.01936793327332,0.679578602313995,1.69894659519196,0.339789301156998,0,0,0.339789301156998,0,3.05810379981995,0,0,31.9401950836182,0,0.679578602313995,1.01936793327332,2.3785252571106,0.339789301156998,0,0,1.35915720462799,0.679578602313995,0.339789301156998,5.43662881851196,1.35915720462799,0.679578602313995,0.0339789316058159,0.679578602313995,0,0,3.7376823425293,0.339789301156998,2.03873586654663,0,0,0,0
540,0,0.325309008359909,2.27716302871704,0,0.650618016719818,0,25.0487937927246,0,0.650618016719818,4.87963533401489,6.18087148666382,0.0325309038162231,0,0,1.30123603343964,0.292825758457184,0.0325309038162231,0,0.325309008359909,0,0.650618016719818,1.30123603343964,0,0.325309008359909,0,0,0,1.9518541097641,0.650618016719818,0,21.4703960418701,0,0.0325309038162231,0.0325309038162231,3.25309014320374,1.62654507160187,0,0,1.30123603343964,0.325309008359909,0,13.9882879257202,4.87963533401489,0.650618016719818,0,0.0325309038162231,0,0,3.25309014320374,1.30123603343964,0,0,0,0,0.325309008359909
545,0.953288793563843,0,3.34075736999512,0,0,0.63552588224411,41.9450645446777,0,0,1.48478102684021,0.742390513420105,0,0,0.371195256710052,0.371195256710052,0,0.742390513420105,0.0371195264160633,0.0371195264160633,0.371195256710052,1.85597634315491,0.742390513420105,0,0,0,1.1135858297348,0,2.2271716594696,0.742390513420105,0,21.900520324707,0,0.0371195264160633,0,3.34075736999512,0,0.371195256710052,0,5.19673347473145,0.371195256710052,0,2.59836673736572,0.742390513420105,0.371195256710052,0.0371195264160633,0,0,0,6.68151473999023,0.742390513420105,0,0,0,0,0
